"時刻","操作","EventID","SubjectUserSid","SubjectUserName","SubjectDomainName","SubjectLogonId","ObjectType","IpAddress","IpPort","ShareName","ShareLocalPath","RelativeTargetName","AccessMask","AccessMask解釈","AccessList","AccessList解釈","AccessReason","AccessReason解釈","その他"
"23:03:41.250518","ShareConnected","5140","S-1-5-21-3393082697-3192495989-2329455330-1012","smbtest","WIN-DESK-2022","0x70288c06","File","192.168.1.20","49690","\\*\ProbeTest","\??\D:\tmp\ProbeTest","","0x1","ListDirectory","%%4416 /     ","ReadData(ListDirectory)(%%4416)","","",""
"23:03:41.330331","ShareFileAccess","5145","S-1-5-21-3393082697-3192495989-2329455330-1012","smbtest","WIN-DESK-2022","0x70288c06","File","192.168.1.20","49690","\\*\ProbeTest","\??\D:\tmp\ProbeTest","\","0x100080","ReadAttributes, Synchronize","%%1541 /     %%4423 /     ","SYNCHRONIZE(%%1541), ReadAttributes(%%4423)","%%1541: %%1801 D:(A;;FA;;;WD) /     %%4423: %%1801 D:(A;;FA;;;WD) /     ","SYNCHRONIZE: 許可 D:(A;;FA;;;WD) / ReadAttributes: 許可 D:(A;;FA;;;WD)",""
"23:03:41.333642","ShareFileAccess","5145","S-1-5-21-3393082697-3192495989-2329455330-1012","smbtest","WIN-DESK-2022","0x70288c06","File","192.168.1.20","49690","\\*\ProbeTest","\??\D:\tmp\ProbeTest","\","0x100081","ListDirectory, ReadAttributes, Synchronize","%%1541 /     %%4416 /     %%4423 /     ","SYNCHRONIZE(%%1541), ReadData(ListDirectory)(%%4416), ReadAttributes(%%4423)","%%1541: %%1801 D:(A;;FA;;;WD) /     %%4416: %%1801 D:(A;;FA;;;WD) /     %%4423: %%1801 D:(A;;FA;;;WD) /     ","SYNCHRONIZE: 許可 D:(A;;FA;;;WD) / ReadData(ListDirectory): 許可 D:(A;;FA;;;WD) / ReadAttributes: 許可 D:(A;;FA;;;WD)",""
"23:03:58.598388","ShareFileAccess","5145","S-1-5-21-3393082697-3192495989-2329455330-1012","smbtest","WIN-DESK-2022","0x70288c06","File","192.168.1.20","49690","\\*\ProbeTest","\??\D:\tmp\ProbeTest","\","0x100081","ListDirectory, ReadAttributes, Synchronize","%%1541 /     %%4416 /     %%4423 /     ","SYNCHRONIZE(%%1541), ReadData(ListDirectory)(%%4416), ReadAttributes(%%4423)","%%1541: %%1801 D:(A;;FA;;;WD) /     %%4416: %%1801 D:(A;;FA;;;WD) /     %%4423: %%1801 D:(A;;FA;;;WD) /     ","SYNCHRONIZE: 許可 D:(A;;FA;;;WD) / ReadData(ListDirectory): 許可 D:(A;;FA;;;WD) / ReadAttributes: 許可 D:(A;;FA;;;WD)",""
"23:03:58.598871","ShareFileAccess","5145","S-1-5-21-3393082697-3192495989-2329455330-1012","smbtest","WIN-DESK-2022","0x70288c06","File","192.168.1.20","49690","\\*\ProbeTest","\??\D:\tmp\ProbeTest","\","0x100081","ListDirectory, ReadAttributes, Synchronize","%%1541 /     %%4416 /     %%4423 /     ","SYNCHRONIZE(%%1541), ReadData(ListDirectory)(%%4416), ReadAttributes(%%4423)","%%1541: %%1801 D:(A;;FA;;;WD) /     %%4416: %%1801 D:(A;;FA;;;WD) /     %%4423: %%1801 D:(A;;FA;;;WD) /     ","SYNCHRONIZE: 許可 D:(A;;FA;;;WD) / ReadData(ListDirectory): 許可 D:(A;;FA;;;WD) / ReadAttributes: 許可 D:(A;;FA;;;WD)",""
"23:03:58.599216","ShareFileAccess","5145","S-1-5-21-3393082697-3192495989-2329455330-1012","smbtest","WIN-DESK-2022","0x70288c06","File","192.168.1.20","49690","\\*\ProbeTest","\??\D:\tmp\ProbeTest","\","0x100081","ListDirectory, ReadAttributes, Synchronize","%%1541 /     %%4416 /     %%4423 /     ","SYNCHRONIZE(%%1541), ReadData(ListDirectory)(%%4416), ReadAttributes(%%4423)","%%1541: %%1801 D:(A;;FA;;;WD) /     %%4416: %%1801 D:(A;;FA;;;WD) /     %%4423: %%1801 D:(A;;FA;;;WD) /     ","SYNCHRONIZE: 許可 D:(A;;FA;;;WD) / ReadData(ListDirectory): 許可 D:(A;;FA;;;WD) / ReadAttributes: 許可 D:(A;;FA;;;WD)",""
"23:04:03.534795","ShareFileAccess","5145","S-1-5-21-3393082697-3192495989-2329455330-1012","smbtest","WIN-DESK-2022","0x70288c06","File","192.168.1.20","49690","\\*\ProbeTest","\??\D:\tmp\ProbeTest","\","0x100080","ReadAttributes, Synchronize","%%1541 /     %%4423 /     ","SYNCHRONIZE(%%1541), ReadAttributes(%%4423)","%%1541: %%1801 D:(A;;FA;;;WD) /     %%4423: %%1801 D:(A;;FA;;;WD) /     ","SYNCHRONIZE: 許可 D:(A;;FA;;;WD) / ReadAttributes: 許可 D:(A;;FA;;;WD)",""
"23:04:03.535248","ShareFileAccess","5145","S-1-5-21-3393082697-3192495989-2329455330-1012","smbtest","WIN-DESK-2022","0x70288c06","File","192.168.1.20","49690","\\*\ProbeTest","\??\D:\tmp\ProbeTest","write_target.txt","0x100080","ReadAttributes, Synchronize","%%1541 /     %%4423 /     ","SYNCHRONIZE(%%1541), ReadAttributes(%%4423)","%%1541: %%1801 D:(A;;FA;;;WD) /     %%4423: %%1801 D:(A;;FA;;;WD) /     ","SYNCHRONIZE: 許可 D:(A;;FA;;;WD) / ReadAttributes: 許可 D:(A;;FA;;;WD)",""
"23:04:03.535947","ShareFileAccess","5145","S-1-5-21-3393082697-3192495989-2329455330-1012","smbtest","WIN-DESK-2022","0x70288c06","File","192.168.1.20","49690","\\*\ProbeTest","\??\D:\tmp\ProbeTest","\","0x100081","ListDirectory, ReadAttributes, Synchronize","%%1541 /     %%4416 /     %%4423 /     ","SYNCHRONIZE(%%1541), ReadData(ListDirectory)(%%4416), ReadAttributes(%%4423)","%%1541: %%1801 D:(A;;FA;;;WD) /     %%4416: %%1801 D:(A;;FA;;;WD) /     %%4423: %%1801 D:(A;;FA;;;WD) /     ","SYNCHRONIZE: 許可 D:(A;;FA;;;WD) / ReadData(ListDirectory): 許可 D:(A;;FA;;;WD) / ReadAttributes: 許可 D:(A;;FA;;;WD)",""
"23:04:03.536196","ShareFileAccess","5145","S-1-5-21-3393082697-3192495989-2329455330-1012","smbtest","WIN-DESK-2022","0x70288c06","File","192.168.1.20","49690","\\*\ProbeTest","\??\D:\tmp\ProbeTest","write_target.txt","0x100080","ReadAttributes, Synchronize","%%1541 /     %%4423 /     ","SYNCHRONIZE(%%1541), ReadAttributes(%%4423)","%%1541: %%1801 D:(A;;FA;;;WD) /     %%4423: %%1801 D:(A;;FA;;;WD) /     ","SYNCHRONIZE: 許可 D:(A;;FA;;;WD) / ReadAttributes: 許可 D:(A;;FA;;;WD)",""
"23:04:03.536443","ShareFileAccess","5145","S-1-5-21-3393082697-3192495989-2329455330-1012","smbtest","WIN-DESK-2022","0x70288c06","File","192.168.1.20","49690","\\*\ProbeTest","\??\D:\tmp\ProbeTest","\","0x100080","ReadAttributes, Synchronize","%%1541 /     %%4423 /     ","SYNCHRONIZE(%%1541), ReadAttributes(%%4423)","%%1541: %%1801 D:(A;;FA;;;WD) /     %%4423: %%1801 D:(A;;FA;;;WD) /     ","SYNCHRONIZE: 許可 D:(A;;FA;;;WD) / ReadAttributes: 許可 D:(A;;FA;;;WD)",""
"23:04:03.536900","ShareFileAccess","5145","S-1-5-21-3393082697-3192495989-2329455330-1012","smbtest","WIN-DESK-2022","0x70288c06","File","192.168.1.20","49690","\\*\ProbeTest","\??\D:\tmp\ProbeTest","write_target.txt","0x120089","Read, Synchronize","%%1538 /     %%1541 /     %%4416 /     %%4419 /     %%4423 /     ","READ_CONTROL(%%1538), SYNCHRONIZE(%%1541), ReadData(ListDirectory)(%%4416), ReadEA(%%4419), ReadAttributes(%%4423)","%%1538: %%1801 D:(A;;FA;;;WD) /     %%1541: %%1801 D:(A;;FA;;;WD) /     %%4416: %%1801 D:(A;;FA;;;WD) /     %%4419: %%1801 D:(A;;FA;;;WD) /     %%4423: %%1801 D:(A;;FA;;;WD) /     ","READ_CONTROL: 許可 D:(A;;FA;;;WD) / SYNCHRONIZE: 許可 D:(A;;FA;;;WD) / ReadData(ListDirectory): 許可 D:(A;;FA;;;WD) / ReadEA: 許可 D:(A;;FA;;;WD) / ReadAttributes: 許可 D:(A;;FA;;;WD)",""
