"日付","時刻","操作","対象種別","対象","コピー先","プロセス名","プロセスID","ドメイン名","ユーザー名","RecordId"
"2026-07-20","06:57:46.422713","ファイルのSACL変更","ファイル","D:\tmp\ProbeTest\delete_complete.txt","","D:\DEV\MyLogger\probe-tools\ToolI-SaclProbe\dist\SaclProbe.exe","0x4670","WIN-DESK-2022","s0911","3913273,3913276,3913278,3913284,3913287"
"2026-07-20","06:57:46.422841","ファイルのSACL変更","ファイル","D:\tmp\ProbeTest\delete_folder_complete\inner.txt","","D:\DEV\MyLogger\probe-tools\ToolI-SaclProbe\dist\SaclProbe.exe","0x4670","WIN-DESK-2022","s0911","3913274,3913277,3913282"
"2026-07-20","06:57:46.422913","フォルダのSACL変更","フォルダ","D:\tmp\ProbeTest\delete_folder_complete","","D:\DEV\MyLogger\probe-tools\ToolI-SaclProbe\dist\SaclProbe.exe","0x4670","WIN-DESK-2022","s0911","3913275,3913279,3913281,3913289"
"2026-07-20","06:57:46.423414","ファイルのSACL変更","ファイル","D:\tmp\ProbeTest\Source\move_source.txt","","D:\DEV\MyLogger\probe-tools\ToolI-SaclProbe\dist\SaclProbe.exe","0x4670","WIN-DESK-2022","s0911","3913280,3913285,3913288,3913290"
"2026-07-20","06:57:46.423752","ファイルのSACL変更","ファイル","D:\tmp\ProbeTest\SourceFolders\CopyFolderSource\inner.txt","","D:\DEV\MyLogger\probe-tools\ToolI-SaclProbe\dist\SaclProbe.exe","0x4670","WIN-DESK-2022","s0911","3913283,3913286"
"2026-07-20","06:57:46.424376","フォルダのSACL変更","フォルダ","D:\tmp\ProbeTest","","D:\DEV\MyLogger\probe-tools\ToolI-SaclProbe\dist\SaclProbe.exe","0x4670","WIN-DESK-2022","s0911","3913291"
"2026-07-20","06:57:51.010956","ファイルの権限変更","ファイル","D:\tmp\ProbeTest\新規 テキスト ドキュメント.txt","","C:\Windows\explorer.exe","0x119c","WIN-DESK-2022","s0911","3913341,3913342,3913344"
"2026-07-20","06:57:52.881878","ファイルのリネーム/移動/削除","ファイル","D:\tmp\ProbeTest\新規 テキスト ドキュメント.txt","","C:\Windows\explorer.exe","0x119c","WIN-DESK-2022","s0911","3913353,3913354,3913358"
"2026-07-20","06:57:52.881893","フォルダの書き込み","フォルダ","D:\tmp\ProbeTest","","C:\Windows\explorer.exe","0x119c","WIN-DESK-2022","s0911","3913355,3913356,3913357,3914276,3914277,3914278,3915091,3915092,3915093"
"2026-07-20","06:57:54.599975","ファイルの書き込み","ファイル","D:\tmp\ProbeTest\write_target.txt","","C:\Program Files (x86)\Hidemaru\Hidemaru.exe","0xa530","WIN-DESK-2022","s0911","3913421,3913427,3913428,3913440,3913441,3913442"
"2026-07-20","06:57:56.352614","ファイルの読み取り","ファイル","D:\tmp\ProbeTest\write_target.txt","","C:\Program Files (x86)\Hidemaru\Hidemaru.exe","0xa530","WIN-DESK-2022","s0911","3913445,3913446"
"2026-07-20","06:57:59.595906","ファイルのリネーム/移動/削除","ファイル","D:\tmp\ProbeTest\delete_normal.txt","","C:\Windows\explorer.exe","0x119c","WIN-DESK-2022","s0911","3913459,3913460,3913481,3913482,3913486"
"2026-07-20","06:57:59.597118","ファイルの削除","ファイル","D:\tmp\ProbeTest\delete_normal.txt","","C:\Windows\explorer.exe","0x119c","WIN-DESK-2022","s0911","3913468,3913469,3913470"
"2026-07-20","06:58:00.706818","ファイルのリネーム/移動/削除","ファイル","D:\tmp\ProbeTest\delete_complete.txt","","C:\Windows\explorer.exe","0x119c","WIN-DESK-2022","s0911","3914003,3914004,3914020,3914021"
"2026-07-20","06:58:08.328009","ファイルのリネーム/移動/削除","ファイル","D:\tmp\ProbeTest\Source\rename_source.txt","","C:\Windows\explorer.exe","0x119c","WIN-DESK-2022","s0911","3914092,3914093,3914097"
