時刻,EventID,イベント種別,分類,対象,対象種別,対象種別備考,プロセス名,プロセスID,ユーザー,アクセス内容,HandleId,RecordId
2026-07-20 06:57:46.422713,4907,SACL変更,シグナル,D:\tmp\ProbeTest\delete_complete.txt,ファイル,拡張子から推定(ファイルシステムは未確認),D:\DEV\MyLogger\probe-tools\ToolI-SaclProbe\dist\SaclProbe.exe,0x4670,WIN-DESK-2022\s0911,,0x3dc,3913273
2026-07-20 06:57:46.422841,4907,SACL変更,シグナル,D:\tmp\ProbeTest\delete_folder_complete\inner.txt,ファイル,拡張子から推定(ファイルシステムは未確認),D:\DEV\MyLogger\probe-tools\ToolI-SaclProbe\dist\SaclProbe.exe,0x4670,WIN-DESK-2022\s0911,,0x3e4,3913274
2026-07-20 06:57:46.422913,4907,SACL変更,シグナル,D:\tmp\ProbeTest\delete_folder_complete,フォルダ,Directory.Existsで確認,D:\DEV\MyLogger\probe-tools\ToolI-SaclProbe\dist\SaclProbe.exe,0x4670,WIN-DESK-2022\s0911,,0x3e8,3913275
2026-07-20 06:57:46.423055,4907,SACL変更,シグナル,D:\tmp\ProbeTest\delete_folder_normal\inner.txt,ファイル,拡張子から推定(ファイルシステムは未確認),D:\DEV\MyLogger\probe-tools\ToolI-SaclProbe\dist\SaclProbe.exe,0x4670,WIN-DESK-2022\s0911,,0x3dc,3913276
2026-07-20 06:57:46.423112,4907,SACL変更,シグナル,D:\tmp\ProbeTest\delete_folder_normal,フォルダ,Directory.Existsで確認,D:\DEV\MyLogger\probe-tools\ToolI-SaclProbe\dist\SaclProbe.exe,0x4670,WIN-DESK-2022\s0911,,0x3e4,3913277
2026-07-20 06:57:46.423198,4907,SACL変更,シグナル,D:\tmp\ProbeTest\delete_normal.txt,ファイル,拡張子から推定(ファイルシステムは未確認),D:\DEV\MyLogger\probe-tools\ToolI-SaclProbe\dist\SaclProbe.exe,0x4670,WIN-DESK-2022\s0911,,0x3dc,3913278
2026-07-20 06:57:46.423336,4907,SACL変更,シグナル,D:\tmp\ProbeTest\Source\copy_source.txt,ファイル,拡張子から推定(ファイルシステムは未確認),D:\DEV\MyLogger\probe-tools\ToolI-SaclProbe\dist\SaclProbe.exe,0x4670,WIN-DESK-2022\s0911,,0x3e8,3913279
2026-07-20 06:57:46.423414,4907,SACL変更,シグナル,D:\tmp\ProbeTest\Source\move_source.txt,ファイル,拡張子から推定(ファイルシステムは未確認),D:\DEV\MyLogger\probe-tools\ToolI-SaclProbe\dist\SaclProbe.exe,0x4670,WIN-DESK-2022\s0911,,0x3ec,3913280
2026-07-20 06:57:46.423542,4907,SACL変更,シグナル,D:\tmp\ProbeTest\Source\rename_source.txt,ファイル,拡張子から推定(ファイルシステムは未確認),D:\DEV\MyLogger\probe-tools\ToolI-SaclProbe\dist\SaclProbe.exe,0x4670,WIN-DESK-2022\s0911,,0x3e8,3913281
2026-07-20 06:57:46.423547,4907,SACL変更,シグナル,D:\tmp\ProbeTest\Source,フォルダ,Directory.Existsで確認,D:\DEV\MyLogger\probe-tools\ToolI-SaclProbe\dist\SaclProbe.exe,0x4670,WIN-DESK-2022\s0911,,0x3e4,3913282
2026-07-20 06:57:46.423752,4907,SACL変更,シグナル,D:\tmp\ProbeTest\SourceFolders\CopyFolderSource\inner.txt,ファイル,拡張子から推定(ファイルシステムは未確認),D:\DEV\MyLogger\probe-tools\ToolI-SaclProbe\dist\SaclProbe.exe,0x4670,WIN-DESK-2022\s0911,,0x3f4,3913283
2026-07-20 06:57:46.423828,4907,SACL変更,シグナル,D:\tmp\ProbeTest\SourceFolders\CopyFolderSource,フォルダ,Directory.Existsで確認,D:\DEV\MyLogger\probe-tools\ToolI-SaclProbe\dist\SaclProbe.exe,0x4670,WIN-DESK-2022\s0911,,0x3dc,3913284
2026-07-20 06:57:46.423971,4907,SACL変更,シグナル,D:\tmp\ProbeTest\SourceFolders\MoveFolderSource\inner.txt,ファイル,拡張子から推定(ファイルシステムは未確認),D:\DEV\MyLogger\probe-tools\ToolI-SaclProbe\dist\SaclProbe.exe,0x4670,WIN-DESK-2022\s0911,,0x3ec,3913285
2026-07-20 06:57:46.423986,4907,SACL変更,シグナル,D:\tmp\ProbeTest\SourceFolders\MoveFolderSource,フォルダ,Directory.Existsで確認,D:\DEV\MyLogger\probe-tools\ToolI-SaclProbe\dist\SaclProbe.exe,0x4670,WIN-DESK-2022\s0911,,0x3f4,3913286
2026-07-20 06:57:46.424136,4907,SACL変更,シグナル,D:\tmp\ProbeTest\SourceFolders\RenameFolderSource\inner.txt,ファイル,拡張子から推定(ファイルシステムは未確認),D:\DEV\MyLogger\probe-tools\ToolI-SaclProbe\dist\SaclProbe.exe,0x4670,WIN-DESK-2022\s0911,,0x3dc,3913287
2026-07-20 06:57:46.424204,4907,SACL変更,シグナル,D:\tmp\ProbeTest\SourceFolders\RenameFolderSource,フォルダ,Directory.Existsで確認,D:\DEV\MyLogger\probe-tools\ToolI-SaclProbe\dist\SaclProbe.exe,0x4670,WIN-DESK-2022\s0911,,0x3ec,3913288
2026-07-20 06:57:46.424258,4907,SACL変更,シグナル,D:\tmp\ProbeTest\SourceFolders,フォルダ,Directory.Existsで確認,D:\DEV\MyLogger\probe-tools\ToolI-SaclProbe\dist\SaclProbe.exe,0x4670,WIN-DESK-2022\s0911,,0x3e8,3913289
2026-07-20 06:57:46.424327,4907,SACL変更,シグナル,D:\tmp\ProbeTest\write_target.txt,ファイル,拡張子から推定(ファイルシステムは未確認),D:\DEV\MyLogger\probe-tools\ToolI-SaclProbe\dist\SaclProbe.exe,0x4670,WIN-DESK-2022\s0911,,0x3ec,3913290
2026-07-20 06:57:46.424376,4907,SACL変更,シグナル,D:\tmp\ProbeTest,フォルダ,Directory.Existsで確認,D:\DEV\MyLogger\probe-tools\ToolI-SaclProbe\dist\SaclProbe.exe,0x4670,WIN-DESK-2022\s0911,,0x38c,3913291
2026-07-20 06:57:47.312851,4656,ハンドル要求,閲覧のみ,D:\tmp\ProbeTest,フォルダ,Directory.Existsで確認,C:\Windows\explorer.exe,0x119c,WIN-DESK-2022\s0911,"ListDirectory, ReadAttributes, Synchronize (0x100081)",0x5d10,3913294
2026-07-20 06:57:47.312855,4663,アクセス試行,閲覧のみ,D:\tmp\ProbeTest,フォルダ,Directory.Existsで確認,C:\Windows\explorer.exe,0x119c,WIN-DESK-2022\s0911,ListDirectory (0x1),0x5d10,3913295
2026-07-20 06:57:47.312887,4658,ハンドルクローズ,閲覧のみ,D:\tmp\ProbeTest,フォルダ,Directory.Existsで確認,C:\Windows\explorer.exe,0x119c,WIN-DESK-2022\s0911,,0x5d10,3913296
